# CS_ID, depth (m)
 1,    259.05
 2,    331.93
 3,    378.47
 4,    444.24
 5,    519.58
 6,    600.36
 7,    684.23
 8,    718.07
 9,    797.03
10,    839.77
11,    917.70
12,    949.08
