# CS_ID, depth (m)
 1,    300.31
 2,    343.34
 3,    401.09
 4,    472.16
 5,    525.88
 6,    575.29
 7,    675.42
 8,    712.15
 9,    777.32
10,    833.08
11,    893.06
12,    945.97
