# CS_ID, depth (m)
 1,    299.68
 2,    364.80
 3,    408.40
 4,    460.04
 5,    560.45
 6,    600.78
 7,    640.68
 8,    722.41
 9,    764.96
10,    819.43
11,    930.87
12,    998.17
