# CS_ID, depth (m)
 1,    308.71
 2,    359.68
 3,    386.86
 4,    495.31
 5,    500.57
 6,    605.63
 7,    649.99
 8,    700.25
 9,    754.38
10,    820.43
11,    920.76
12,    973.06
