# CS_ID, depth (m)
 1,    261.92
 2,    322.49
 3,    407.94
 4,    450.48
 5,    510.70
 6,    585.63
 7,    654.87
 8,    723.66
 9,    773.45
10,    858.61
11,    909.43
12,    977.77
