# CS_ID, depth (m)
 1,    307.08
 2,    369.90
 3,    402.87
 4,    474.71
 5,    522.50
 6,    600.99
 7,    675.00
 8,    704.67
 9,    764.95
10,    861.69
11,    915.81
12,    958.05
