# CS_ID, depth (m)
 1,    302.97
 2,    329.92
 3,    428.33
 4,    498.09
 5,    509.05
 6,    614.61
 7,    678.18
 8,    703.48
 9,    752.42
10,    833.20
11,    931.75
12,    969.67
