# CS_ID, depth (m)
 1,    301.03
 2,    315.09
 3,    418.94
 4,    475.63
 5,    556.07
 6,    583.29
 7,    635.32
 8,    742.53
 9,    773.07
10,    852.00
11,    910.73
12,    950.59
