# CS_ID, depth (m)
 1,    276.02
 2,    367.39
 3,    383.95
 4,    466.48
 5,    557.59
 6,    581.98
 7,    662.82
 8,    688.63
 9,    764.70
10,    844.55
11,    890.86
12,    963.06
