# CS_ID, depth (m)
 1,    297.87
 2,    347.18
 3,    410.80
 4,    452.69
 5,    561.26
 6,    579.41
 7,    628.19
 8,    743.34
 9,    756.99
10,    831.91
11,    924.49
12,    969.30
