# CS_ID, depth (m)
 1,    273.13
 2,    364.62
 3,    428.12
 4,    477.60
 5,    507.56
 6,    565.56
 7,    647.13
 8,    691.54
 9,    767.74
10,    836.97
11,    880.67
12,    978.19
