# CS_ID, depth (m)
 1,    282.62
 2,    336.39
 3,    421.10
 4,    481.24
 5,    510.22
 6,    570.60
 7,    680.58
 8,    746.14
 9,    768.63
10,    839.41
11,    896.81
12,    970.07
