# CS_ID, depth (m)
 1,    287.65
 2,    342.35
 3,    385.21
 4,    498.87
 5,    554.85
 6,    617.02
 7,    634.64
 8,    689.52
 9,    805.18
10,    862.78
11,    930.07
12,    988.42
