# CS_ID, depth (m)
 1,    264.82
 2,    374.59
 3,    410.57
 4,    471.99
 5,    526.35
 6,    618.13
 7,    643.08
 8,    701.68
 9,    776.95
10,    834.28
11,    915.90
12,    959.20
