# CS_ID, depth (m)
 1,    303.08
 2,    343.87
 3,    421.15
 4,    465.47
 5,    537.50
 6,    602.95
 7,    625.67
 8,    742.85
 9,    804.39
10,    834.90
11,    900.50
12,    979.70
