# CS_ID, depth (m)
 1,    306.86
 2,    360.44
 3,    408.65
 4,    451.80
 5,    511.73
 6,    595.08
 7,    632.57
 8,    703.89
 9,    807.10
10,    825.63
11,    880.82
12,    995.52
