# CS_ID, depth (m)
 1,    263.80
 2,    370.89
 3,    378.98
 4,    484.37
 5,    503.00
 6,    599.80
 7,    642.97
 8,    722.96
 9,    798.07
10,    842.03
11,    925.30
12,    990.19
