# CS_ID, depth (m)
 1,    307.69
 2,    333.94
 3,    419.59
 4,    449.51
 5,    502.51
 6,    570.18
 7,    663.95
 8,    725.64
 9,    783.73
10,    859.48
11,    914.18
12,    973.71
