# CS_ID, depth (m)
 1,    291.31
 2,    368.19
 3,    417.31
 4,    467.19
 5,    526.08
 6,    564.16
 7,    673.26
 8,    736.70
 9,    774.19
10,    817.36
11,    917.63
12,    989.31
