# CS_ID, depth (m)
 1,    260.41
 2,    361.60
 3,    417.21
 4,    496.28
 5,    509.13
 6,    574.78
 7,    639.80
 8,    736.02
 9,    790.13
10,    857.37
11,    931.23
12,    956.76
