# CS_ID, depth (m)
 1,    254.70
 2,    322.48
 3,    407.44
 4,    456.30
 5,    559.99
 6,    593.61
 7,    638.25
 8,    720.03
 9,    784.04
10,    860.45
11,    921.46
12,    961.68
