# CS_ID, depth (m)
 1,    251.99
 2,    353.51
 3,    412.70
 4,    447.34
 5,    523.97
 6,    619.97
 7,    665.44
 8,    722.22
 9,    810.56
10,    834.07
11,    902.91
12,    996.13
