# CS_ID, depth (m)
 1,    307.48
 2,    354.64
 3,    426.76
 4,    471.73
 5,    528.73
 6,    617.67
 7,    670.04
 8,    734.32
 9,    784.35
10,    836.72
11,    885.81
12,    990.43
