# CS_ID, depth (m)
 1,    282.56
 2,    347.54
 3,    396.06
 4,    464.56
 5,    530.82
 6,    585.73
 7,    635.12
 8,    705.04
 9,    806.41
10,    833.33
11,    906.60
12,    955.83
