# CS_ID, depth (m)
 1,    253.87
 2,    359.43
 3,    377.72
 4,    496.75
 5,    509.78
 6,    594.83
 7,    681.66
 8,    696.01
 9,    783.75
10,    818.51
11,    903.09
12,    976.69
