# CS_ID, depth (m)
 1,    269.51
 2,    350.36
 3,    388.58
 4,    473.08
 5,    507.51
 6,    624.47
 7,    650.08
 8,    708.60
 9,    779.71
10,    870.11
11,    919.72
12,    939.04
