# CS_ID, depth (m)
 1,    306.20
 2,    331.79
 3,    436.22
 4,    441.65
 5,    519.48
 6,    583.53
 7,    661.35
 8,    712.73
 9,    766.49
10,    873.41
11,    924.85
12,    986.50
