# CS_ID, depth (m)
 1,    299.06
 2,    329.06
 3,    417.76
 4,    468.02
 5,    511.90
 6,    577.30
 7,    683.96
 8,    716.12
 9,    788.40
10,    856.89
11,    901.43
12,    949.47
