# CS_ID, depth (m)
 1,    273.77
 2,    340.48
 3,    424.95
 4,    447.44
 5,    556.98
 6,    603.56
 7,    631.81
 8,    714.55
 9,    791.84
10,    844.98
11,    881.25
12,    992.79
