# CS_ID, depth (m)
 1,    255.85
 2,    363.50
 3,    389.88
 4,    484.74
 5,    548.05
 6,    599.43
 7,    687.24
 8,    739.94
 9,    752.29
10,    815.49
11,    903.61
12,    974.19
