# CS_ID, depth (m)
 1,    290.66
 2,    325.88
 3,    409.64
 4,    457.65
 5,    561.05
 6,    593.24
 7,    654.69
 8,    718.19
 9,    806.96
10,    851.29
11,    900.57
12,    963.70
