# CS_ID, depth (m)
 1,    293.39
 2,    317.35
 3,    431.22
 4,    475.25
 5,    539.09
 6,    621.52
 7,    684.33
 8,    706.21
 9,    754.48
10,    827.79
11,    906.31
12,    963.28
