# CS_ID, depth (m)
 1,    300.41
 2,    352.46
 3,    383.27
 4,    437.67
 5,    543.16
 6,    624.01
 7,    678.41
 8,    695.90
 9,    750.03
10,    838.04
11,    900.92
12,    974.69
