# CS_ID, depth (m)
 1,    272.73
 2,    317.40
 3,    377.57
 4,    484.53
 5,    509.50
 6,    568.22
 7,    686.65
 8,    706.51
 9,    796.24
10,    828.07
11,    885.97
12,    938.68
