# CS_ID, depth (m)
 1,    282.83
 2,    337.24
 3,    421.52
 4,    450.45
 5,    526.51
 6,    576.50
 7,    642.21
 8,    736.81
 9,    769.45
10,    857.65
11,    936.61
12,    960.75
