# CS_ID, depth (m)
 1,    283.53
 2,    356.04
 3,    411.11
 4,    493.73
 5,    515.47
 6,    583.77
 7,    642.34
 8,    713.13
 9,    799.64
10,    860.44
11,    906.91
12,    977.93
