# CS_ID, depth (m)
 1,    305.23
 2,    322.93
 3,    400.81
 4,    478.58
 5,    548.60
 6,    615.94
 7,    646.59
 8,    697.32
 9,    792.16
10,    867.41
11,    884.88
12,    980.34
