# CS_ID, depth (m)
 1,    305.35
 2,    321.16
 3,    381.49
 4,    470.80
 5,    543.94
 6,    617.95
 7,    659.88
 8,    706.28
 9,    769.46
10,    816.12
11,    923.66
12,    952.75
