# CS_ID, depth (m)
 1,    311.71
 2,    374.26
 3,    408.68
 4,    474.71
 5,    553.43
 6,    602.56
 7,    682.64
 8,    722.84
 9,    763.29
10,    839.41
11,    910.18
12,    948.28
