# CS_ID, depth (m)
 1,    278.12
 2,    333.14
 3,    375.17
 4,    473.96
 5,    544.90
 6,    595.23
 7,    658.17
 8,    738.63
 9,    809.40
10,    825.05
11,    894.02
12,    964.98
