# CS_ID, depth (m)
 1,    259.58
 2,    360.47
 3,    389.51
 4,    464.63
 5,    549.48
 6,    621.58
 7,    654.37
 8,    706.15
 9,    795.67
10,    865.21
11,    896.32
12,    962.09
