# CS_ID, depth (m)
 1,    254.56
 2,    328.08
 3,    379.88
 4,    454.84
 5,    508.13
 6,    604.21
 7,    682.32
 8,    736.74
 9,    776.68
10,    848.16
11,    886.30
12,    994.04
