# CS_ID, depth (m)
 1,    264.72
 2,    360.87
 3,    382.79
 4,    473.20
 5,    525.17
 6,    576.35
 7,    648.23
 8,    691.38
 9,    804.06
10,    864.28
11,    896.00
12,    978.75
