# CS_ID, depth (m)
 1,    296.19
 2,    370.78
 3,    405.32
 4,    446.94
 5,    516.45
 6,    583.33
 7,    628.60
 8,    705.85
 9,    775.21
10,    825.51
11,    923.94
12,    962.89
