# CS_ID, depth (m)
 1,    253.20
 2,    343.53
 3,    388.82
 4,    483.56
 5,    521.80
 6,    595.38
 7,    648.42
 8,    743.35
 9,    764.59
10,    868.96
11,    881.53
12,    977.96
