# CS_ID, depth (m)
 1,    265.60
 2,    340.25
 3,    380.06
 4,    474.47
 5,    540.46
 6,    620.25
 7,    645.26
 8,    709.90
 9,    782.03
10,    817.54
11,    922.51
12,    977.47
