# CS_ID, depth (m)
 1,    283.75
 2,    328.83
 3,    392.98
 4,    447.87
 5,    516.14
 6,    573.42
 7,    648.97
 8,    717.05
 9,    803.65
10,    819.71
11,    881.04
12,    945.48
