# CS_ID, depth (m)
 1,    294.82
 2,    355.98
 3,    437.39
 4,    477.62
 5,    506.60
 6,    565.94
 7,    660.93
 8,    711.77
 9,    780.52
10,    838.90
11,    910.78
12,    956.59
