# CS_ID, depth (m)
 1,    301.96
 2,    333.04
 3,    418.82
 4,    438.44
 5,    547.03
 6,    578.50
 7,    661.63
 8,    694.74
 9,    779.39
10,    865.81
11,    902.94
12,    973.34
