# CS_ID, depth (m)
 1,    283.46
 2,    352.94
 3,    398.89
 4,    449.56
 5,    520.65
 6,    597.26
 7,    630.30
 8,    716.31
 9,    763.34
10,    842.42
11,    925.34
12,    965.31
