# CS_ID, depth (m)
 1,    311.53
 2,    332.50
 3,    401.04
 4,    498.88
 5,    516.71
 6,    622.60
 7,    643.64
 8,    693.37
 9,    781.18
10,    835.29
11,    920.31
12,    987.91
