# CS_ID, depth (m)
 1,    310.37
 2,    322.35
 3,    387.34
 4,    450.92
 5,    504.40
 6,    575.85
 7,    640.96
 8,    688.00
 9,    782.61
10,    827.74
11,    883.74
12,    940.89
