# CS_ID, depth (m)
 1,    302.47
 2,    327.17
 3,    400.35
 4,    453.76
 5,    546.33
 6,    604.40
 7,    636.92
 8,    691.51
 9,    751.43
10,    833.21
11,    893.24
12,    952.04
