# CS_ID, depth (m)
 1,    305.17
 2,    315.59
 3,    402.01
 4,    499.53
 5,    541.70
 6,    568.03
 7,    671.45
 8,    724.01
 9,    784.65
10,    864.88
11,    881.56
12,    998.95
