# CS_ID, depth (m)
 1,    287.02
 2,    366.19
 3,    402.57
 4,    497.16
 5,    505.50
 6,    603.15
 7,    625.61
 8,    689.20
 9,    766.64
10,    822.56
11,    919.79
12,    984.32
