# CS_ID, depth (m)
 1,    308.31
 2,    350.91
 3,    434.65
 4,    484.20
 5,    534.78
 6,    583.72
 7,    641.69
 8,    739.34
 9,    796.97
10,    867.53
11,    932.12
12,    948.97
