# CS_ID, depth (m)
 1,    272.41
 2,    345.97
 3,    384.32
 4,    458.60
 5,    529.43
 6,    568.87
 7,    630.63
 8,    724.05
 9,    765.47
10,    818.98
11,    933.30
12,    948.08
