# CS_ID, depth (m)
 1,    263.49
 2,    344.23
 3,    412.62
 4,    459.01
 5,    557.12
 6,    574.74
 7,    676.51
 8,    733.54
 9,    770.46
10,    839.46
11,    881.26
12,    998.66
