# CS_ID, depth (m)
 1,    266.56
 2,    321.44
 3,    378.76
 4,    454.05
 5,    508.46
 6,    567.09
 7,    631.17
 8,    697.92
 9,    795.31
10,    825.70
11,    934.48
12,    949.86
