# CS_ID, depth (m)
 1,    307.64
 2,    354.27
 3,    428.64
 4,    491.84
 5,    508.44
 6,    593.40
 7,    630.27
 8,    741.06
 9,    794.94
10,    853.95
11,    929.84
12,    976.49
