# CS_ID, depth (m)
 1,    289.38
 2,    316.31
 3,    431.38
 4,    482.56
 5,    518.69
 6,    615.94
 7,    686.49
 8,    727.38
 9,    778.92
10,    821.76
11,    881.20
12,    999.51
