# CS_ID, depth (m)
 1,    269.61
 2,    334.64
 3,    423.93
 4,    469.27
 5,    516.64
 6,    600.03
 7,    625.57
 8,    689.65
 9,    762.93
10,    864.66
11,    914.03
12,    970.57
