# CS_ID, depth (m)
 1,    293.23
 2,    329.10
 3,    386.46
 4,    451.47
 5,    514.32
 6,    591.13
 7,    670.66
 8,    694.27
 9,    771.62
10,    855.71
11,    904.38
12,    988.02
