# CS_ID, depth (m)
 1,    290.56
 2,    345.26
 3,    410.82
 4,    463.42
 5,    533.88
 6,    611.29
 7,    678.51
 8,    702.80
 9,    809.07
10,    817.61
11,    893.74
12,    995.46
